2025-10-21 02:12:34.091; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {371226A5-0A24-4AEC-8060-A19B3878A3D5}(0), notice[Cmd]: 
2025-10-21 02:12:34.091; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {E43C9C38-7DBD-4F80-82E9-B71B5C9F762E}(0), notice[Cmd]: 
2025-10-21 02:12:34.093; INFO; Core; 11028; 12964] ServiceCore::OnConnectionChanged, peer 8 is connected: 0
2025-10-21 02:12:34.097; INFO; SystemFeature; 11028; 12248] [ModernStandby] OnPowerChanged : PBT_APMRESUMEAUTOMATIC, m_isSuspend = false
2025-10-21 02:12:34.097; INFO; SystemFeature; 11028; 12248] [ModernStandby] UpdateSettingsToBIOS 
2025-10-21 02:12:34.097; INFO; SystemFeature; 11028; 12248] [ModernStandby] UpdateSettingsToBIOS  lid = 2, pb =2, timeout = 0, enabled = 1
2025-10-21 02:12:34.127; INFO; SystemFeature; 11028; 12248] [ModernStandby] UpdateSettingsToBIOS Done.
2025-10-21 02:12:34.128; INFO; SystemFeature; 11028; 12248] [TouchPad] NotifyConsoleStatusChanged Exist
2025-10-21 02:12:34.128; WARNING; StreamPlugin; 11028; 12248] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2025-10-21 02:12:34.162; INFO; StreamPlugin; 11028; 26904] StreamPlugin::ConnectionHandler::ConnectionThread, Clear threads
2025-10-21 02:12:34.162; INFO; StreamPlugin; 11028; 26904] StreamPlugin::ConnectionHandler::ConnectionThread, Clear tasks
2025-10-21 02:12:34.162; INFO; StreamPlugin; 11028; 28948] StreamPlugin::ConnectionHandler::ConnectionThread, Wait for finishing thread id: 29184
2025-10-21 02:12:34.163; INFO; StreamPlugin; 11028; 28948] StreamPlugin::ConnectionHandler::ConnectionThread, Clear threads
2025-10-21 02:12:34.163; INFO; StreamPlugin; 11028; 28948] StreamPlugin::ConnectionHandler::ConnectionThread, Clear tasks
2025-10-21 02:12:34.236; INFO; StreamPlugin; 11028; 30584] StreamPlugin::ConnectionHandler::SendVersion, Final version: 1.1
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::ConnectionHandler::SwitchKeepAliveSegment, Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::ConnectionHandler::ConnectionThread, connected for peer: 0x02
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 0, completed event: 0000000000000440
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {EC81AE0B-1BD6-4F55-973B-6D24462FA7A1}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {6AD2878E-6F59-4F34-BEE4-3F5A994A006D}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AB5F014E-883D-470D-BC2D-127EF91E5611}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {CAA66B71-14EB-4838-BCB8-B2D450EE1233}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {A4F10A34-50E5-47AE-A791-350316488891}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 12248] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 1, completed event: 0000000000000550
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {DAE20473-AFC3-4A85-9752-5814127EE708}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {8AF74945-AC76-46DE-BE0A-4E9F1BB9A66A}(0), notice[Cmd]: 
2025-10-21 02:12:34.247; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {BB94B9B5-F11B-4233-98BC-0E406D81A707}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {96A0B670-086F-4378-9C3E-B7666BC2E8B0}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {210FC4C0-065C-47E9-BC89-51071BBABFB0}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AAAF3325-0C47-4FCB-8975-C52BBC5A4A7A}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {0CA6B0F0-8978-4605-99E8-F922D5873F78}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {D22B890B-E516-4151-9943-ABF087C47073}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {E7D986DA-D5DB-45F4-9D7A-47EE736F55E3}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {DBBACA0E-D7BA-481D-865B-BB2C4384ECBF}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {597B102C-306F-4CB8-9B75-33E58598A316}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {9EBAE211-6820-4E90-AFA6-292ADE3F9480}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {186FF775-2200-437B-89CA-F693C00E6A44}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {D9129F1F-298E-47B2-9944-E175534ACA06}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {0438803C-04E8-4B58-A0C4-9BDCFD19D1E9}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {467227BF-4B16-462A-8ABB-9BA331EE45DB}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {F0FCD7F7-D1B4-4617-B58C-D934C5DC9101}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {E372FD74-7074-4331-A2BC-F01D1B43FA17}(0), notice[Cmd]: 
2025-10-21 02:12:34.248; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {6CE1AADF-3810-423F-B869-F96873A786FF}(0), notice[Cmd]: 
2025-10-21 02:12:34.249; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {1E24CF7D-8CCF-4C4A-B83E-486183895FF8}(0), notice[Cmd]: 
2025-10-21 02:12:34.249; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AC38FB2B-17FC-4DA1-A653-9C5B15134CB7}(0), notice[Cmd]: 
2025-10-21 02:12:34.250; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {371226A5-0A24-4AEC-8060-A19B3878A3D5}(0), notice[Cmd]: 
2025-10-21 02:12:34.250; INFO; Core; 11028; 12964] ServiceCore::OnConnectionChanged, peer 2 is connected: 1
2025-10-21 02:12:34.250; INFO; StreamPlugin; 11028; 30584] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {E43C9C38-7DBD-4F80-82E9-B71B5C9F762E}(0), notice[Cmd]: 
2025-10-21 02:12:34.250; INFO; StreamPlugin; 11028; 12248] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 1, completed event: 0000000000000550
2025-10-21 02:12:34.250; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 0, completed event: 0000000000000440
2025-10-21 02:12:34.250; INFO; TBGraphicControl; 11028; 12212] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:18,
}
2025-10-21 02:12:34.250; INFO; StreamPlugin; 11028; 12248] StreamPlugin::SendRequest, (Request)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}
2025-10-21 02:12:34.254; WARNING; StreamPlugin; 11028; 12248] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2025-10-21 02:12:34.254; ERROR; ScenarioProfile; 11028; 12248] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage: PostNotice fail.(0xa0800002). Data : {
  AppTag:SystemFeature_TouchPad,
  App_GUID:{e7d986da-d5db-45f4-9d7a-47ee736f55e3},
  App_Profile:1,
  Command:AppProfileChange,
  Event:ScenarioProfileReceiveServiceMessage,
}
2025-10-21 02:12:34.254; INFO; StreamPlugin; 11028; 12248] StreamPlugin::SendRequest, (Reply)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}, result: 0x00000000
2025-10-21 02:12:34.256; INFO; SystemFeature; 11028; 12248] GetSupportFeatures : Not Support -> [ROGKey] {index: 4000 : 16384, <0x000130023>} = 0000 
2025-10-21 02:12:34.283; INFO; SystemFeature; 11028; 12248] [KeyboardMonitor] is NOT support (Cannot find touchpad)
2025-10-21 02:12:34.369; INFO; TBGraphicControl; 11028; 12212] OnPowerChange start
2025-10-21 02:12:34.369; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 2, completed event: 0000000000001858
2025-10-21 02:12:34.429; INFO; SystemFeature; 11028; 12248] [ModernStandby] OnPowerChanged : PBT_APMRESUMESUSPEND
